FID,Area,Longitude,Latitude
228,625,-65.18552019,-7.867150737
229,625,-65.18529053,-7.867158373
230,625,-65.18780897,-7.866851493
231,625,-65.18757931,-7.866859133
232,625,-65.18689031,-7.866882048
233,625,-65.18666065,-7.866889686
234,625,-65.18551232,-7.866927871
235,625,-65.18528266,-7.866935507
236,625,-65.18803076,-7.866620987
237,625,-65.18688244,-7.866659182
238,625,-65.18665278,-7.86666682
239,625,-65.18802289,-7.86639812
240,625,-65.18687457,-7.866436315
241,625,-65.18664491,-7.866443952
242,625,-65.18801502,-7.866175253
243,625,-65.18502939,-7.866274541
244,625,-65.18479972,-7.866282176
245,625,-65.18800714,-7.865952385
246,625,-65.18502152,-7.866051674
247,625,-65.18479186,-7.866059309
248,625,-65.18799927,-7.865729518
249,625,-65.18639163,-7.865782988
250,625,-65.18616197,-7.865790625
251,625,-65.18822106,-7.86549901
252,625,-65.18638376,-7.86556012
253,156,-65.18271976,-7.870869622
254,156,-65.18260493,-7.870873438
255,156,-65.17697797,-7.871060311
256,156,-65.17686314,-7.871064123
257,156,-65.17559994,-7.871106045
258,156,-65.17548511,-7.871109856
259,156,-65.18271583,-7.87075819
260,156,-65.18260099,-7.870762006
261,156,-65.17697405,-7.87094888
262,156,-65.17685921,-7.870952691
263,156,-65.17559602,-7.870994614
264,156,-65.17548118,-7.870998424
265,156,-65.18742014,-7.870490236
266,156,-65.18294157,-7.870639127
267,156,-65.18282673,-7.870642943
268,156,-65.17674045,-7.870845071
269,156,-65.17662561,-7.870848883
270,156,-65.18741621,-7.870378804
271,156,-65.18293763,-7.870527695
272,156,-65.1828228,-7.870531511
273,156,-65.17673652,-7.87073364
274,156,-65.17662168,-7.870737451
275,156,-65.18741227,-7.870267372
276,156,-65.17994798,-7.870515453
277,156,-65.17983315,-7.870519266
278,156,-65.18740834,-7.870155941
279,156,-65.17994405,-7.870404021
280,156,-65.17982922,-7.870407835
281,156,-65.1874044,-7.870044509
282,156,-65.17511704,-7.870452697
283,156,-65.1750022,-7.870456507
284,156,-65.1875153,-7.869929258
285,156,-65.18740046,-7.869933077
286,156,-65.17511311,-7.870341265
287,156,-65.17499828,-7.870345075
288,156,-65.1826883,-7.869978168
289,156,-65.18257347,-7.869981984
290,156,-65.18268437,-7.869866736
291,156,-65.18256953,-7.869870552
292,156,-65.18268044,-7.869755304
293,156,-65.1825656,-7.86975912
294,156,-65.1826765,-7.869643872
295,156,-65.18256167,-7.869647688
296,156,-65.18761045,-7.869368278
297,156,-65.1824429,-7.869540072
298,156,-65.18232807,-7.869543887
299,156,-65.18760652,-7.869256846
300,156,-65.18243897,-7.86942864
301,156,-65.18232414,-7.869432455
302,156,-65.18760258,-7.869145414
303,156,-65.18759864,-7.869033982
304,156,-65.17668546,-7.869285023
305,156,-65.17657062,-7.869288834
306,156,-65.17553711,-7.869323134
307,156,-65.17542228,-7.869326944
308,156,-65.17507777,-7.869338376
309,156,-65.17496294,-7.869342186
310,156,-65.17668153,-7.869173591
311,156,-65.17656669,-7.869177402
312,156,-65.17553318,-7.869211701
313,156,-65.17541835,-7.869215512
314,156,-65.17507384,-7.869226943
315,156,-65.17495901,-7.869230753
316,156,-65.17920395,-7.868978285
317,156,-65.17908912,-7.868982098
318,156,-65.17851495,-7.869001163
319,156,-65.17840011,-7.869004976
320,156,-65.17621826,-7.869077403
321,156,-65.17610343,-7.869081214
322,156,-65.17920002,-7.868866852
323,156,-65.17908519,-7.868870666
324,156,-65.17851102,-7.868889731
325,156,-65.17839618,-7.868893544
326,156,-65.17621433,-7.868965971
327,156,-65.1760995,-7.868969782
328,156,-65.18034443,-7.868717282
329,156,-65.1802296,-7.868721096
330,156,-65.18780469,-7.868357748
331,156,-65.1803405,-7.868605849
332,156,-65.18022567,-7.868609664
333,156,-65.18780076,-7.868246316
334,156,-65.18056624,-7.868486788
335,156,-65.18045141,-7.868490602
336,156,-65.18779682,-7.868134883
337,156,-65.18056231,-7.868375355
338,156,-65.18044748,-7.86837917
339,156,-65.18779289,-7.86802345
340,156,-65.18767805,-7.86802727
341,156,-65.18756322,-7.868031089
342,156,-65.18101771,-7.868248665
343,156,-65.18090288,-7.868252479
344,156,-65.17963971,-7.868294435
345,156,-65.17952488,-7.868298248
346,156,-65.17941004,-7.868302062
347,156,-65.17929521,-7.868305875
348,156,-65.17872104,-7.868324942
349,156,-65.17860621,-7.868328755
350,156,-65.18778895,-7.867912017
351,156,-65.18767412,-7.867915837
352,156,-65.18755928,-7.867919657
353,156,-65.18101378,-7.868137232
354,156,-65.18089895,-7.868141046
355,156,-65.17963578,-7.868183002
356,156,-65.17952095,-7.868186816
357,156,-65.17940611,-7.868190629
358,156,-65.17929128,-7.868194443
359,156,-65.17871711,-7.868213509
360,156,-65.17860228,-7.868217322
361,156,-65.18789985,-7.867796765
362,156,-65.18778501,-7.867800585
363,156,-65.18468452,-7.867903685
364,156,-65.18456968,-7.867907503
365,156,-65.18192852,-7.867995279
366,156,-65.18181369,-7.867999094
367,156,-65.18146918,-7.868010539
368,156,-65.18135435,-7.868014354
369,156,-65.17871318,-7.868102076
370,156,-65.17859835,-7.868105889
371,156,-65.18789591,-7.867685332
372,156,-65.18778108,-7.867689152
373,156,-65.18468058,-7.867792252
374,156,-65.18456575,-7.86779607
375,156,-65.18192459,-7.867883846
376,156,-65.18180975,-7.867887661
377,156,-65.18146525,-7.867899106
378,156,-65.18135042,-7.867902921
379,156,-65.17870925,-7.867990643
380,156,-65.17859442,-7.867994456
381,156,-65.18789197,-7.867573899
382,156,-65.18777714,-7.867577719
383,156,-65.18766231,-7.867581538
384,156,-65.18754747,-7.867585358
385,156,-65.18788804,-7.867462466
386,156,-65.1877732,-7.867466286
387,156,-65.18765837,-7.867470105
388,156,-65.18754354,-7.867473925
389,156,-65.187995,-7.86723578
390,156,-65.18799106,-7.867124347
391,156,-65.18798712,-7.867012914
392,156,-65.18798319,-7.86690148
393,156,-65.18797925,-7.866790047
394,156,-65.1881853,-7.866113806
395,156,-65.18818136,-7.866002372
396,156,-65.18817742,-7.865890939
397,156,-65.18817349,-7.865779505
398,156,-65.18816955,-7.865668071
399,156,-65.18805078,-7.865560457
400,156,-65.18793595,-7.865564277
401,156,-65.18621348,-7.865621565
402,156,-65.18609865,-7.865625383
403,156,-65.18804685,-7.865449023
404,156,-65.18793202,-7.865452843
405,156,-65.18620955,-7.865510131
406,156,-65.18609472,-7.865513949
407,156,-65.18837559,-7.864991826
